,reward
0,186
1,203
2,194
3,199
4,205
5,206
6,127
7,112
8,106
9,68
10,65
11,81
12,113
13,110
14,126
15,257
16,222
17,93
18,127
19,118
20,120
21,137
22,154
23,194
24,208
25,230
26,241
27,283
28,288
29,90
30,176
31,126
32,274
33,434
34,123
35,118
36,135
37,71
38,97
39,141
40,163
41,124
42,352
43,173
44,500
45,150
46,97
47,405
48,105
49,350
50,356
51,124
52,299
53,305
54,349
55,283
56,184
57,106
58,158
59,173
60,242
61,227
62,90
63,107
64,201
65,107
66,124
67,307
68,229
69,224
70,84
71,224
72,100
73,149
74,262
75,229
76,257
77,76
78,79
79,130
80,74
81,177
82,300
83,74
84,298
85,275
86,88
87,68
88,275
89,159
90,119
91,242
92,167
93,92
94,116
95,135
96,299
97,189
98,131
99,292
100,290
101,145
102,85
103,78
104,144
105,316
106,278
107,94
108,283
109,93
110,158
111,124
112,80
113,301
114,114
115,94
116,149
117,307
118,281
119,103
120,135
121,292
122,230
123,196
124,242
125,196
126,122
127,175
128,101
129,114
130,77
131,152
132,214
133,89
134,80
135,190
136,274
137,208
138,252
139,207
140,255
141,127
142,135
143,212
144,116
145,86
146,139
147,138
148,164
149,134
150,204
151,88
152,201
153,205
154,121
155,225
156,73
157,173
158,134
159,240
160,141
161,78
162,139
163,121
164,157
165,115
166,103
167,127
168,126
169,148
170,126
171,86
172,220
173,161
174,97
175,210
176,207
177,190
178,157
179,143
180,102
181,98
182,168
183,133
184,489
185,133
186,119
187,111
188,133
189,127
190,133
191,139
192,105
193,500
194,109
195,126
196,132
197,123
198,124
199,96
200,474
201,116
202,124
203,199
204,417
205,128
206,123
207,171
208,115
209,103
210,87
211,67
212,67
213,59
214,56
215,58
216,56
217,57
218,61
219,63
220,78
221,74
222,76
223,78
224,70
225,23
226,56
227,36
228,35
229,35
230,33
231,35
232,34
233,31
234,35
235,59
236,61
237,34
238,24
239,40
240,34
241,40
242,60
243,57
244,29
245,24
246,21
247,19
248,22
249,19
250,20
251,19
252,19
253,19
254,19
255,21
256,21
257,20
258,19
259,9
260,10
261,9
262,9
263,9
264,9
265,9
266,9
267,9
268,9
269,9
270,9
271,9
272,9
273,9
274,9
275,9
276,9
277,9
278,9
279,9
280,11
281,9
282,9
283,9
284,9
285,9
286,9
287,11
288,10
289,10
290,10
291,10
292,10
293,11
294,10
295,10
296,16
297,17
298,14
299,15
300,13
301,12
302,12
303,12
304,11
305,11
306,11
307,11
308,11
309,11
310,11
311,11
312,11
313,11
314,10
315,10
316,10
317,10
318,10
319,10
320,10
321,10
322,10
323,10
324,10
325,10
326,10
327,11
328,11
329,10
330,11
331,11
332,11
333,11
334,10
335,11
336,9
337,9
338,9
339,9
340,10
341,10
342,9
343,9
344,9
345,9
346,10
347,9
348,9
349,9
350,10
351,9
352,9
353,9
354,9
355,9
356,9
357,9
358,9
359,9
360,9
361,9
362,9
363,10
364,11
365,10
366,10
367,10
368,10
369,9
370,10
371,9
372,9
373,9
374,9
375,9
376,9
377,9
378,9
379,10
380,10
381,10
382,11
383,10
384,10
385,11
386,10
387,9
388,9
389,9
390,9
391,10
392,9
393,9
394,9
395,9
396,9
397,9
398,12
399,10
400,9
401,9
402,12
403,10
404,10
405,13
406,10
407,10
408,10
409,9
410,9
411,9
412,9
413,9
414,9
415,9
416,9
417,10
418,10
419,11
420,10
421,10
422,10
423,10
424,9
425,9
426,9
427,9
428,9
429,9
430,9
431,10
432,12
433,10
434,12
435,10
436,10
437,10
438,10
439,10
440,10
441,10
442,9
443,9
444,10
445,10
446,10
447,10
448,10
449,10
450,10
451,10
452,10
453,10
454,10
455,9
456,9
457,9
458,9
459,9
460,9
461,9
462,9
463,10
464,10
465,10
466,10
467,10
468,10
469,12
470,10
471,10
472,10
473,10
474,10
475,10
476,10
477,10
478,9
479,9
480,10
481,9
482,9
483,10
484,10
485,11
486,10
487,10
488,10
489,10
490,10
491,14
492,10
493,10
494,10
495,10
496,11
497,10
498,10
499,10
500,10
501,10
502,10
503,10
504,10
505,9
506,9
507,9
508,9
509,10
510,10
511,10
512,10
513,11
514,10
515,10
516,14
517,10
518,10
519,10
520,10
521,9
522,9
523,10
524,10
525,10
526,10
527,10
528,11
529,10
530,10
531,10
532,10
533,12
534,10
535,10
536,10
537,10
538,10
539,11
540,12
541,10
542,10
543,10
544,10
545,11
546,12
547,10
548,10
549,10
550,10
551,10
552,10
553,10
554,10
555,10
556,10
557,12
558,10
559,10
560,12
561,10
562,10
563,12
564,10
565,11
566,10
567,11
568,10
569,12
570,10
571,10
572,11
573,11
574,10
575,12
576,10
577,10
578,10
579,10
580,10
581,10
582,10
583,10
584,12
585,10
586,10
587,10
588,10
589,10
590,10
591,10
592,10
593,10
594,10
595,10
596,10
597,11
598,10
599,13
600,10
601,10
602,10
603,11
604,10
605,10
606,10
607,10
608,10
609,10
610,12
611,10
612,10
613,10
614,10
615,10
616,10
617,10
618,10
619,10
620,10
621,10
622,10
623,10
624,12
625,10
626,10
627,10
628,10
629,10
630,10
631,10
632,10
633,10
634,10
635,10
636,10
637,10
638,11
639,10
640,10
641,10
642,12
643,14
644,10
645,10
646,10
647,12
648,262
649,458
650,385
651,84
652,10
653,10
654,10
655,10
656,10
657,10
658,10
659,10
660,10
661,10
662,260
663,360
664,500
665,463
666,449
667,500
668,500
669,187
670,199
671,137
672,10
673,10
674,94
675,99
676,140
677,187
678,407
679,500
680,500
681,500
682,365
683,284
684,237
685,213
686,195
687,208
688,221
689,258
690,315
691,412
692,382
693,361
694,394
695,330
696,263
697,231
698,221
699,173
700,167
701,169
702,159
703,185
704,246
705,292
706,408
707,500
708,500
709,500
710,454
711,489
712,286
713,284
714,291
715,244
716,285
717,477
718,500
719,240
720,273
721,241
722,243
723,185
724,449
725,492
726,316
727,195
728,181
729,160
730,178
731,175
732,281
733,467
734,500
735,500
736,500
737,500
738,367
739,393
740,500
741,500
742,388
743,500
744,403
745,500
746,414
747,433
748,413
749,401
750,333
751,222
752,244
753,315
754,342
755,336
756,354
757,376
758,362
759,424
760,493
761,500
762,500
763,500
764,500
765,500
766,489
767,452
768,500
769,500
770,500
771,500
772,500
773,500
774,500
775,500
776,500
777,500
778,472
779,341
780,334
781,304
782,294
783,312
784,328
785,425
786,451
787,459
788,500
789,500
790,500
791,435
792,435
793,388
794,382
795,323
796,361
797,415
798,471
799,500
800,500
801,500
802,500
803,500
804,500
805,500
806,500
807,458
808,398
809,369
810,376
811,382
812,360
813,429
814,467
815,500
816,495
817,499
818,500
819,395
820,467
821,454
822,350
823,336
824,348
825,326
826,328
827,371
828,373
829,417
830,466
831,487
832,492
833,500
834,500
835,500
836,500
837,500
838,426
839,385
840,413
841,453
842,492
843,500
844,500
845,500
846,500
847,500
848,383
849,439
850,348
851,443
852,373
853,399
854,329
855,368
856,465
857,488
858,450
859,500
860,483
861,500
862,406
863,405
864,391
865,379
866,394
867,392
868,438
869,388
870,416
871,452
872,424
873,411
874,431
875,414
876,425
877,460
878,403
879,398
880,411
881,349
882,396
883,357
884,358
885,398
886,377
887,414
888,390
889,382
890,330
891,388
892,382
893,315
894,336
895,308
896,339
897,385
898,486
899,500
900,500
901,433
902,402
903,339
904,361
905,319
906,359
907,393
908,410
909,500
910,500
911,500
912,500
913,382
914,327
915,313
916,344
917,334
918,343
919,348
920,384
921,450
922,431
923,454
924,403
925,390
926,339
927,350
928,289
929,288
930,307
931,331
932,331
933,347
934,381
935,402
936,340
937,296
938,282
939,286
940,267
941,277
942,288
943,341
944,442
945,433
946,500
947,500
948,465
949,500
950,363
951,325
952,284
953,279
954,284
955,274
956,295
957,362
958,424
959,500
960,500
961,500
962,488
963,378
964,310
965,255
966,256
967,266
968,266
969,284
970,348
971,393
972,500
973,500
974,377
975,347
976,274
977,266
978,247
979,229
980,241
981,264
982,315
983,377
984,469
985,469
986,461
987,443
988,385
989,296
990,262
991,282
992,298
993,358
994,341
995,381
996,410
997,377
998,336
999,283
1000,282
1001,303
1002,300
1003,303
1004,296
1005,291
1006,292
1007,307
1008,292
1009,323
1010,302
1011,308
1012,333
1013,330
1014,338
1015,321
1016,321
1017,323
1018,315
1019,317
1020,297
1021,309
1022,297
1023,283
1024,274
1025,293
1026,297
1027,296
1028,315
1029,299
1030,305
1031,292
1032,319
1033,315
1034,332
1035,337
1036,341
1037,353
1038,348
1039,340
1040,349
1041,346
1042,374
1043,364
1044,340
1045,351
1046,333
1047,349
1048,323
1049,338
1050,313
1051,340
1052,326
1053,332
1054,321
1055,339
1056,318
1057,303
1058,316
1059,303
1060,279
1061,287
1062,320
1063,285
1064,293
1065,303
1066,268
1067,262
1068,268
1069,263
1070,267
1071,264
1072,283
1073,286
1074,297
1075,293
1076,309
1077,315
1078,320
1079,306
1080,312
1081,330
1082,312
1083,356
1084,356
1085,312
1086,355
1087,348
1088,311
1089,348
1090,313
1091,305
1092,305
1093,310
1094,310
1095,298
1096,316
1097,279
1098,283
1099,273
1100,280
1101,269
1102,248
1103,270
1104,272
1105,255
1106,269
1107,267
1108,251
1109,263
1110,270
1111,254
1112,257
1113,268
1114,268
1115,262
1116,272
1117,253
1118,275
1119,281
1120,278
1121,275
1122,274
1123,292
1124,281
1125,306
1126,288
1127,292
1128,297
1129,284
1130,296
1131,346
1132,322
1133,325
1134,340
1135,321
1136,298
1137,317
1138,339
1139,305
1140,287
1141,306
1142,293
1143,284
1144,305
1145,282
1146,276
1147,277
1148,283
1149,258
1150,275
1151,258
1152,261
1153,274
1154,261
1155,271
1156,272
1157,264
1158,272
1159,274
1160,271
1161,268
1162,254
1163,277
1164,292
1165,267
1166,291
1167,284
1168,280
1169,304
1170,304
1171,310
1172,291
1173,295
1174,283
1175,275
1176,294
1177,303
1178,269
1179,282
1180,291
1181,296
1182,298
1183,273
1184,271
1185,287
1186,269
1187,271
1188,278
1189,282
1190,268
1191,298
1192,278
1193,265
1194,271
1195,290
1196,271
1197,273
1198,257
1199,278
1200,282
1201,273
1202,267
1203,286
1204,273
1205,264
1206,277
1207,265
1208,275
1209,267
1210,269
1211,269
1212,270
1213,270
1214,271
1215,252
1216,266
1217,262
1218,269
1219,264
1220,265
1221,249
1222,263
1223,271
1224,268
1225,276
1226,271
1227,269
1228,289
1229,251
1230,267
1231,256
1232,264
1233,247
1234,273
1235,250
1236,266
1237,257
1238,269
1239,258
1240,260
1241,272
1242,257
1243,263
1244,269
1245,273
1246,274
1247,276
1248,266
1249,265
1250,263
1251,271
1252,266
1253,249
1254,244
1255,251
1256,270
1257,266
1258,259
1259,258
1260,271
1261,264
1262,261
1263,239
1264,264
1265,257
1266,268
1267,267
1268,268
1269,254
1270,249
1271,267
1272,255
1273,259
1274,261
1275,250
1276,255
1277,249
1278,260
1279,256
1280,241
1281,265
1282,256
1283,245
1284,242
1285,268
1286,254
1287,265
1288,258
1289,248
1290,248
1291,252
1292,257
1293,255
1294,268
1295,250
1296,260
1297,267
1298,247
1299,256
1300,248
1301,257
1302,233
1303,259
1304,264
1305,269
1306,252
1307,253
1308,254
1309,259
1310,263
1311,268
1312,253
1313,231
1314,256
1315,266
1316,267
1317,255
1318,264
1319,262
1320,266
1321,265
1322,270
1323,265
1324,271
1325,254
1326,272
1327,270
1328,263
1329,252
1330,269
1331,271
1332,255
1333,256
1334,270
1335,275
1336,263
1337,265
1338,265
1339,257
1340,261
1341,266
1342,260
1343,269
1344,249
1345,248
1346,271
1347,249
1348,258
1349,245
1350,248
1351,261
1352,258
1353,269
1354,262
1355,256
1356,267
1357,255
1358,258
1359,258
1360,261
1361,249
1362,255
1363,252
1364,255
1365,258
1366,253
1367,245
1368,246
1369,250
1370,241
1371,252
1372,238
1373,258
1374,243
1375,246
1376,250
1377,257
1378,253
1379,253
1380,241
1381,256
1382,244
1383,249
1384,262
1385,248
1386,246
1387,251
1388,239
1389,241
1390,255
1391,247
1392,258
1393,246
1394,256
1395,252
1396,245
1397,257
1398,241
1399,263
1400,249
1401,246
1402,245
1403,242
1404,244
1405,254
1406,245
1407,252
1408,228
1409,258
1410,80
1411,249
1412,244
1413,246
1414,262
1415,261
1416,247
1417,262
1418,243
1419,249
1420,248
1421,251
1422,245
1423,244
1424,245
1425,248
1426,246
1427,251
1428,253
1429,249
1430,245
1431,246
1432,246
1433,244
1434,246
1435,240
1436,244
1437,253
1438,250
1439,247
1440,246
1441,250
1442,246
1443,234
1444,250
1445,251
1446,260
1447,250
1448,243
1449,242
1450,235
1451,254
1452,238
1453,247
1454,242
1455,240
1456,245
1457,241
1458,243
1459,247
1460,243
1461,248
1462,252
1463,257
1464,250
1465,245
1466,250
1467,255
1468,255
1469,250
1470,243
1471,252
1472,253
1473,254
