,reward
0,15
1,16
2,27
3,34
4,13
5,14
6,46
7,14
8,11
9,11
10,18
11,31
12,27
13,13
14,30
15,28
16,18
17,10
18,19
19,17
20,37
21,28
22,35
23,15
24,21
25,10
26,39
27,19
28,38
29,11
30,12
31,11
32,12
33,15
34,19
35,20
36,15
37,17
38,47
39,20
40,18
41,14
42,26
43,58
44,49
45,12
46,69
47,17
48,27
49,15
50,32
51,11
52,14
53,17
54,28
55,14
56,25
57,27
58,17
59,19
60,20
61,51
62,55
63,22
64,24
65,28
66,23
67,31
68,11
69,110
70,12
71,14
72,11
73,26
74,20
75,13
76,21
77,57
78,13
79,50
80,22
81,15
82,23
83,13
84,14
85,15
86,13
87,42
88,11
89,35
90,14
91,13
92,16
93,25
94,12
95,21
96,27
97,18
98,41
99,25
100,18
101,23
102,19
103,20
104,17
105,14
106,15
107,24
108,34
109,23
110,42
111,49
112,24
113,35
114,11
115,24
116,13
117,11
118,10
119,14
120,18
121,22
122,13
123,41
124,14
125,59
126,14
127,37
128,18
129,48
130,42
131,11
132,12
133,37
134,15
135,19
136,30
137,16
138,15
139,24
140,21
141,26
142,15
143,26
144,22
145,40
146,20
147,15
148,11
149,21
150,18
151,21
152,27
153,12
154,9
155,23
156,16
157,21
158,53
159,19
160,15
161,16
162,11
163,15
164,54
165,34
166,10
167,28
168,21
169,34
170,19
171,29
172,42
173,56
174,38
175,17
176,30
177,17
178,45
179,12
180,22
181,44
182,10
183,15
184,30
185,25
186,42
187,17
188,28
189,16
190,21
191,52
192,60
193,31
194,12
195,20
196,25
197,51
198,26
199,68
200,28
201,11
202,64
203,17
204,13
205,12
206,26
207,36
208,12
209,15
210,29
211,75
212,30
213,34
214,30
215,19
216,14
217,9
218,57
219,16
220,16
221,45
222,28
223,25
224,11
225,13
226,40
227,16
228,78
229,15
230,43
231,15
232,34
233,22
234,62
235,20
236,35
237,82
238,15
239,31
240,34
241,10
242,35
243,21
244,27
245,15
246,17
247,51
248,20
249,31
250,17
251,17
252,29
253,53
254,19
255,49
256,26
257,27
258,19
259,43
260,11
261,21
262,33
263,10
264,58
265,10
266,14
267,62
268,20
269,33
270,52
271,79
272,39
273,19
274,16
275,44
276,20
277,18
278,13
279,23
280,27
281,54
282,18
283,27
284,25
285,17
286,22
287,15
288,44
289,31
290,26
291,74
292,26
293,39
294,15
295,19
296,39
297,54
298,32
299,118
300,13
301,10
302,123
303,16
304,24
305,38
306,33
307,37
308,31
309,36
310,37
311,18
312,51
313,74
314,26
315,103
316,15
317,33
318,28
319,21
320,18
321,72
322,24
323,50
324,30
325,41
326,40
327,43
328,46
329,13
330,25
331,46
332,28
333,24
334,12
335,57
336,27
337,31
338,73
339,21
340,68
341,29
342,37
343,12
344,16
345,31
346,53
347,27
348,37
349,23
350,20
351,37
352,24
353,57
354,55
355,52
356,13
357,20
358,38
359,37
360,24
361,19
362,24
363,21
364,42
365,22
366,19
367,61
368,15
369,13
370,100
371,32
372,45
373,25
374,19
375,119
376,52
377,14
378,24
379,21
380,21
381,31
382,16
383,39
384,34
385,43
386,62
387,59
388,16
389,65
390,58
391,66
392,37
393,31
394,88
395,65
396,29
397,97
398,130
399,20
400,19
401,55
402,23
403,18
404,49
405,158
406,33
407,84
408,53
409,56
410,125
411,110
412,72
413,31
414,22
415,25
416,55
417,69
418,108
419,79
420,19
421,27
422,148
423,68
424,29
425,64
426,136
427,62
428,60
429,14
430,99
431,75
432,59
433,79
434,13
435,38
436,87
437,63
438,140
439,40
440,16
441,126
442,53
443,40
444,59
445,39
446,69
447,217
448,35
449,68
450,97
451,121
452,32
453,26
454,81
455,86
456,48
457,93
458,79
459,81
460,16
461,21
462,204
463,38
464,96
465,213
466,32
467,65
468,104
469,28
470,125
471,135
472,168
473,65
474,95
475,146
476,189
477,74
478,124
479,59
480,75
481,25
482,38
483,76
484,52
485,53
486,91
487,119
488,100
489,38
490,94
491,167
492,34
493,61
494,161
495,68
496,78
497,90
498,77
499,72
500,38
501,31
502,38
503,100
504,101
505,92
506,92
507,210
508,41
509,107
510,267
511,54
512,248
513,112
514,79
515,41
516,111
517,37
518,106
519,90
520,126
521,52
522,19
523,86
524,192
525,121
526,45
527,42
528,126
529,138
530,193
531,48
532,66
533,132
534,86
535,190
536,120
537,265
538,187
539,186
540,62
541,23
542,144
543,129
544,108
545,269
546,152
547,137
548,86
549,87
550,119
551,63
552,218
553,48
554,114
555,39
556,30
557,132
558,264
559,243
560,90
561,37
562,153
563,178
564,79
565,97
566,260
567,49
568,157
569,66
570,119
571,302
572,129
573,131
574,138
575,114
576,165
577,100
578,111
579,123
580,52
581,213
582,278
583,132
584,55
585,144
586,205
587,100
588,419
589,199
590,233
591,348
592,117
593,173
594,119
595,94
596,145
597,141
598,41
599,105
600,224
601,181
602,135
603,104
604,100
605,218
606,222
607,222
608,142
609,264
610,176
611,351
612,165
613,28
614,148
615,257
616,322
617,316
618,237
619,227
620,151
621,131
622,121
623,60
624,37
625,107
626,292
627,133
628,89
629,193
630,113
631,83
632,144
633,54
634,90
635,199
636,75
637,110
638,128
639,47
640,36
641,56
642,138
643,98
644,76
645,124
646,214
647,63
648,83
649,274
650,189
651,138
652,468
653,229
654,139
655,311
656,35
657,117
658,92
659,210
660,278
661,181
662,331
663,228
664,237
665,210
666,204
667,59
668,88
669,313
670,138
671,105
672,149
673,39
674,39
675,345
676,244
677,200
678,400
679,198
680,244
681,224
682,114
683,191
684,199
685,228
686,44
687,199
688,176
689,105
690,155
691,266
692,197
693,179
694,148
695,205
696,182
697,193
698,188
699,118
700,243
701,266
702,162
703,182
704,142
705,208
706,331
707,189
708,219
709,205
710,84
711,172
712,66
713,114
714,191
715,232
716,207
717,187
718,119
719,101
720,304
721,100
722,186
723,136
724,82
725,191
726,74
727,154
728,162
729,209
730,222
731,221
732,216
733,127
734,404
735,317
736,249
737,218
738,263
739,246
740,126
741,90
742,221
743,262
744,225
745,143
746,285
747,83
748,217
749,178
750,369
751,111
752,318
753,132
754,314
755,263
756,230
757,215
758,374
759,150
760,367
761,209
762,253
763,168
764,220
765,120
766,265
767,309
768,190
769,243
770,302
771,99
772,337
773,467
774,226
775,500
776,124
777,272
778,173
779,234
780,397
781,232
782,61
783,138
784,496
785,246
786,126
787,500
788,114
789,174
790,153
791,160
792,146
793,126
794,130
795,362
796,244
797,226
798,202
799,328
800,374
801,175
802,380
803,211
804,179
805,191
806,200
807,209
808,243
809,174
810,227
811,219
812,308
813,91
814,123
815,271
816,256
817,363
818,245
819,378
820,165
821,302
822,150
823,257
824,500
825,252
826,191
827,298
828,240
829,222
830,400
831,310
832,232
833,269
834,366
835,374
836,347
837,223
838,500
839,277
840,479
841,114
842,463
843,239
844,194
845,357
846,243
847,209
848,238
849,500
850,500
851,500
852,26
853,193
854,220
855,419
856,245
857,470
858,471
859,209
860,392
861,500
862,500
863,156
864,235
865,125
866,164
867,212
868,352
869,215
870,202
871,43
872,199
873,75
874,266
875,149
876,187
877,138
878,119
879,297
880,238
881,269
882,461
883,195
884,251
885,53
886,231
887,308
888,153
889,205
890,221
891,275
892,143
893,268
894,115
895,235
896,273
897,257
898,187
899,169
900,147
901,125
902,402
903,429
904,245
905,164
906,97
907,154
908,281
909,288
910,312
911,300
912,192
913,167
914,198
915,470
916,254
917,261
918,290
919,421
920,172
921,72
922,239
923,231
924,297
925,360
926,457
927,372
928,476
929,243
930,160
931,500
932,236
933,229
934,198
935,99
936,207
937,206
938,306
939,294
940,155
941,231
942,336
943,124
944,165
945,182
946,148
947,367
948,436
949,139
950,305
951,500
952,382
953,137
954,119
955,164
956,254
957,306
958,374
959,433
960,194
961,496
962,336
963,338
964,335
965,229
966,388
967,272
968,118
969,267
970,124
971,170
972,213
973,219
974,346
975,261
976,413
977,412
978,195
979,278
980,90
981,477
